Epoch 186, Loss 2.4179627895355225
Epoch 187, Loss 2.416746139526367
Epoch 188, Loss 2.414566993713379
Epoch 189, Loss 2.4138500690460205
Epoch 190, Loss 2.4147653579711914
Epoch 191, Loss 2.4154040813446045
Epoch 192, Loss 2.414565324783325
Epoch 193, Loss 2.413163185119629
Epoch 194, Loss 2.4126715660095215
Epoch 195, Loss 2.413140058517456
Epoch 196, Loss 2.413393497467041
Epoch 197, Loss 2.412759780883789
Epoch 198, Loss 2.4118359088897705
Epoch 199, Loss 2.411491632461548
Epoch 200, Loss 2.4117000102996826
Epoch 201, Loss 2.4117259979248047
Epoch 202, Loss 2.411210775375366
Epoch 203, Loss 2.410571813583374
Epoch 204, Loss 2.410313844680786
Epoch 205, Loss 2.4103548526763916
Epoch 206, Loss 2.410238742828369
Epoch 207, Loss 2.4098031520843506
Epoch 208, Loss 2.4093399047851562
Epoch 209, Loss 2.409126043319702
Epoch 210, Loss 2.409060478210449
Epoch 211, Loss 2.4088642597198486
Epoch 212, Loss 2.40848445892334
Epoch 213, Loss 2.408125162124634
Epoch 214, Loss 2.4079272747039795
Epoch 215, Loss 2.4077889919281006
Epoch 216, Loss 2.407550096511841
Epoch 217, Loss 2.4072158336639404
Epoch 218, Loss 2.406921148300171
Epoch 219, Loss 2.4067256450653076
Epoch 220, Loss 2.406543731689453
Epoch 221, Loss 2.4062891006469727
Epoch 222, Loss 2.405991554260254
Epoch 223, Loss 2.405734062194824
Epoch 224, Loss 2.405529737472534
Epoch 225, Loss 2.405315637588501
Epoch 226, Loss 2.4050519466400146
Epoch 227, Loss 2.4047751426696777
Epoch 228, Loss 2.4045305252075195
Epoch 229, Loss 2.404310703277588
Epoch 230, Loss 2.4040753841400146
Epoch 231, Loss 2.4038124084472656
Epoch 232, Loss 2.403552293777466
Epoch 233, Loss 2.403315544128418
Epoch 234, Loss 2.4030871391296387
Epoch 235, Loss 2.4028427600860596
Epoch 236, Loss 2.402585744857788
Epoch 237, Loss 2.402336359024048
Epoch 238, Loss 2.4021027088165283
Epoch 239, Loss 2.401867389678955
Epoch 240, Loss 2.4016213417053223
Epoch 241, Loss 2.4013726711273193
Epoch 242, Loss 2.401132822036743
Epoch 243, Loss 2.400900363922119
Epoch 244, Loss 2.400662422180176
Epoch 245, Loss 2.4004194736480713
Epoch 246, Loss 2.4001779556274414
Epoch 247, Loss 2.3999440670013428
Epoch 248, Loss 2.3997111320495605
Epoch 249, Loss 2.39947509765625
Epoch 250, Loss 2.399238348007202
Epoch 251, Loss 2.3990039825439453
Epoch 252, Loss 2.3987741470336914
Epoch 253, Loss 2.398543357849121
Epoch 254, Loss 2.3983089923858643
Epoch 255, Loss 2.398074150085449
Epoch 256, Loss 2.3978424072265625
Epoch 257, Loss 2.3976118564605713
Epoch 258, Loss 2.3973793983459473
Epoch 259, Loss 2.397145986557007
Epoch 260, Loss 2.396913528442383
Epoch 261, Loss 2.396683692932129
Epoch 262, Loss 2.396453619003296
Epoch 263, Loss 2.3962221145629883
Epoch 264, Loss 2.3959898948669434
Epoch 265, Loss 2.395756959915161
Epoch 266, Loss 2.3955235481262207
Epoch 267, Loss 2.3952877521514893
Epoch 268, Loss 2.3950507640838623
Epoch 269, Loss 2.394813299179077
Epoch 270, Loss 2.3945751190185547
Epoch 271, Loss 2.394336700439453
Epoch 272, Loss 2.394099235534668
Epoch 273, Loss 2.393862247467041
Epoch 274, Loss 2.393623113632202
Epoch 275, Loss 2.393383741378784
Epoch 276, Loss 2.3931431770324707
Epoch 277, Loss 2.3929026126861572
Epoch 278, Loss 2.3926632404327393
Epoch 279, Loss 2.3924224376678467
Epoch 280, Loss 2.3921821117401123
Epoch 281, Loss 2.3919410705566406
Epoch 282, Loss 2.3916990756988525
Epoch 283, Loss 2.3914554119110107
Epoch 284, Loss 2.3912155628204346
Epoch 285, Loss 2.3909754753112793
Epoch 286, Loss 2.390735387802124
Epoch 287, Loss 2.390493631362915
Epoch 288, Loss 2.390249490737915
Epoch 289, Loss 2.390005111694336
Epoch 290, Loss 2.3897593021392822
Epoch 291, Loss 2.3895132541656494
Epoch 292, Loss 2.3892662525177
Epoch 293, Loss 2.389017343521118
Epoch 294, Loss 2.388767719268799
Epoch 295, Loss 2.388519525527954
Epoch 296, Loss 2.3882720470428467
Epoch 297, Loss 2.3880250453948975
Epoch 298, Loss 2.3877761363983154
Epoch 299, Loss 2.387526273727417
Epoch 300, Loss 2.3872761726379395
Epoch 301, Loss 2.3870255947113037
Epoch 302, Loss 2.3867743015289307
Epoch 303, Loss 2.386524200439453
Epoch 304, Loss 2.3862764835357666
Epoch 305, Loss 2.386029005050659
Epoch 306, Loss 2.385779857635498
Epoch 307, Loss 2.385528564453125
Epoch 308, Loss 2.385275363922119
Epoch 309, Loss 2.3850226402282715
Epoch 310, Loss 2.3847665786743164
Epoch 311, Loss 2.3845105171203613
Epoch 312, Loss 2.384253978729248
Epoch 313, Loss 2.3839967250823975
Epoch 314, Loss 2.3837380409240723
Epoch 315, Loss 2.3834776878356934
Epoch 316, Loss 2.383216619491577
Epoch 317, Loss 2.3829550743103027
Epoch 318, Loss 2.382694721221924
Epoch 319, Loss 2.3824350833892822
Epoch 320, Loss 2.3821752071380615
Epoch 321, Loss 2.381915330886841
Epoch 322, Loss 2.381655216217041
Epoch 323, Loss 2.3813939094543457
Epoch 324, Loss 2.3811306953430176
Epoch 325, Loss 2.3808629512786865
Epoch 326, Loss 2.3805923461914062
Epoch 327, Loss 2.3803226947784424
Epoch 328, Loss 2.3800530433654785
Epoch 329, Loss 2.3797831535339355
Epoch 330, Loss 2.379514455795288
Epoch 331, Loss 2.379246473312378
Epoch 332, Loss 2.3789780139923096
Epoch 333, Loss 2.378709316253662
Epoch 334, Loss 2.3784379959106445
Epoch 335, Loss 2.378164768218994
Epoch 336, Loss 2.377887487411499
Epoch 337, Loss 2.3776116371154785
Epoch 338, Loss 2.3773326873779297
Epoch 339, Loss 2.377049446105957
Epoch 340, Loss 2.376760959625244
Epoch 341, Loss 2.3764688968658447
Epoch 342, Loss 2.3761720657348633
Epoch 343, Loss 2.375868797302246
Epoch 344, Loss 2.3755526542663574
Epoch 345, Loss 2.375220775604248
Epoch 346, Loss 2.374863386154175
Epoch 347, Loss 2.3744475841522217
Epoch 348, Loss 2.3740270137786865
Epoch 349, Loss 2.373774528503418
Epoch 350, Loss 2.3733553886413574
Epoch 351, Loss 2.3730907440185547
Epoch 352, Loss 2.372781276702881
Epoch 353, Loss 2.372407913208008
Epoch 354, Loss 2.372098445892334
Epoch 355, Loss 2.3718137741088867
Epoch 356, Loss 2.3714685440063477
Epoch 357, Loss 2.371131658554077
Epoch 358, Loss 2.370840549468994
Epoch 359, Loss 2.3705313205718994
Epoch 360, Loss 2.3701977729797363
Epoch 361, Loss 2.369891881942749
Epoch 362, Loss 2.369603157043457
Epoch 363, Loss 2.3692920207977295
Epoch 364, Loss 2.3689725399017334
Epoch 365, Loss 2.368673086166382
Epoch 366, Loss 2.3683722019195557
Epoch 367, Loss 2.3680617809295654
Epoch 368, Loss 2.367753028869629
Epoch 369, Loss 2.367452383041382
Epoch 370, Loss 2.36714243888855
Epoch 371, Loss 2.3668212890625
Epoch 372, Loss 2.366499185562134
Epoch 373, Loss 2.366177797317505
Epoch 374, Loss 2.365851879119873
Epoch 375, Loss 2.3655247688293457
Epoch 376, Loss 2.3652074337005615
Epoch 377, Loss 2.36488676071167
Epoch 378, Loss 2.3645596504211426
Epoch 379, Loss 2.3642337322235107
Epoch 380, Loss 2.3639121055603027
Epoch 381, Loss 2.3635921478271484
Epoch 382, Loss 2.3632631301879883
Epoch 383, Loss 2.362931489944458
Epoch 384, Loss 2.362600564956665
Epoch 385, Loss 2.362271308898926
Epoch 386, Loss 2.361938238143921
Epoch 387, Loss 2.361605644226074
Epoch 388, Loss 2.361273765563965
Epoch 389, Loss 2.3609416484832764
Epoch 390, Loss 2.3606085777282715
Epoch 391, Loss 2.360275983810425
Epoch 392, Loss 2.359938859939575
Epoch 393, Loss 2.359595537185669
Epoch 394, Loss 2.359252691268921
Epoch 395, Loss 2.3589024543762207
Epoch 396, Loss 2.358546018600464
Epoch 397, Loss 2.3581857681274414
Epoch 398, Loss 2.3578248023986816
Epoch 399, Loss 2.357469081878662
Epoch 400, Loss 2.3571083545684814
Epoch 401, Loss 2.3567447662353516
Epoch 402, Loss 2.356384515762329
Epoch 403, Loss 2.3560426235198975
Epoch 404, Loss 2.3556880950927734
Epoch 405, Loss 2.3553390502929688
Epoch 406, Loss 2.3549885749816895
Epoch 407, Loss 2.3546271324157715
Epoch 408, Loss 2.354252815246582
Epoch 409, Loss 2.3538763523101807
Epoch 410, Loss 2.353490114212036
Epoch 411, Loss 2.353106737136841
Epoch 412, Loss 2.352721691131592
Epoch 413, Loss 2.352337598800659
Epoch 414, Loss 2.3519673347473145
Epoch 415, Loss 2.35160231590271
Epoch 416, Loss 2.3512418270111084
Epoch 417, Loss 2.3509228229522705
Epoch 418, Loss 2.350588083267212
Epoch 419, Loss 2.350248098373413
Epoch 420, Loss 2.349923849105835
Epoch 421, Loss 2.349611759185791
Epoch 422, Loss 2.3492939472198486
Epoch 423, Loss 2.34897518157959
Epoch 424, Loss 2.348658323287964
Epoch 425, Loss 2.3483340740203857
Epoch 426, Loss 2.3480069637298584
Epoch 427, Loss 2.347689390182495
Epoch 428, Loss 2.3473637104034424
Epoch 429, Loss 2.34704327583313
Epoch 430, Loss 2.3467249870300293
Epoch 431, Loss 2.34639310836792
Epoch 432, Loss 2.3460536003112793
Epoch 433, Loss 2.3457016944885254
Epoch 434, Loss 2.3453381061553955
Epoch 435, Loss 2.344970703125
Epoch 436, Loss 2.3446035385131836
Epoch 437, Loss 2.3442444801330566
Epoch 438, Loss 2.3438799381256104
Epoch 439, Loss 2.343522071838379
Epoch 440, Loss 2.3431835174560547
Epoch 441, Loss 2.342846393585205
Epoch 442, Loss 2.342508554458618
Epoch 443, Loss 2.3421599864959717
Epoch 444, Loss 2.3418006896972656
Epoch 445, Loss 2.3414547443389893
Epoch 446, Loss 2.3410966396331787
Epoch 447, Loss 2.340731143951416
Epoch 448, Loss 2.3403897285461426
Epoch 449, Loss 2.3400354385375977
Epoch 450, Loss 2.339676856994629
Epoch 451, Loss 2.339325189590454
Epoch 452, Loss 2.3389809131622314
Epoch 453, Loss 2.3386359214782715
Epoch 454, Loss 2.338313102722168
Epoch 455, Loss 2.338029384613037
Epoch 456, Loss 2.3377480506896973
Epoch 457, Loss 2.3374814987182617
Epoch 458, Loss 2.3372035026550293
Epoch 459, Loss 2.3369319438934326
Epoch 460, Loss 2.336655616760254
Epoch 461, Loss 2.3363876342773438
Epoch 462, Loss 2.3361220359802246
Epoch 463, Loss 2.3358569145202637
Epoch 464, Loss 2.3355889320373535
Epoch 465, Loss 2.3353235721588135
Epoch 466, Loss 2.33505916595459
Epoch 467, Loss 2.3347954750061035
Epoch 468, Loss 2.334533214569092
